degree,n,m_interval_error,sd_error,m_ISI_error,sd_ISI_error,m_entropy_interval,sd_entropy_interval,m_entropy_IOI,sd_entropy_IOI
0,1000,NA,NA,NA,NA,6.37474044007555,0.03526098195540804,0.2376510109265396,0.03662072590543726
1,1000,2.395356676202223,0.12484077766644694,0.22355134828010745,0.007928968621139605,6.336914735051898,0.03456923114284798,0.18534495231023287,0.030955153012610214
2,1000,1.9370737644582645,0.11087810013728892,0.17075017777959012,0.006916920207835375,6.26534092643895,0.0329180704577367,0.2356706507959396,0.03404751358058621
3,1000,1.945979577660255,0.114771530764701,0.16295188428181612,0.007127620822878143,6.242325851080053,0.04067431408233926,0.23727682109666245,0.03507075497461873
4,1000,1.7307025154725213,0.11593249597196031,0.15350542646283183,0.006703104417854847,6.253015993857678,0.03444892934567236,0.21166261586768398,0.033816324455381574
5,1000,1.688930097096024,0.09885183963689696,0.16542935276584814,0.007185903633453122,6.217066272991981,0.036886320588457644,0.22215083608056507,0.03607634369078353
6,1000,1.6094463241719614,0.09954807795248026,0.16111945588158186,0.007598472034871659,6.2289255676435795,0.036775514101086884,0.17871845921859308,0.03371931389815787
7,1000,1.6525735218948336,0.10316103732617658,0.14992315734614975,0.007709151336896852,6.2101239118732225,0.037555460148528425,0.24579503005214165,0.039240848319180295
8,1000,1.6586761380133395,0.10309740202148698,0.1557053359211981,0.00799104377335077,6.214522663861813,0.03551047406967415,0.23959770251217075,0.03938947290456682
9,1000,1.4578776282836716,0.08895232038028883,0.16821083178475338,0.008812810450455125,6.131371853800569,0.03545806771683325,0.23290908514240133,0.04600424169382048
10,1000,1.5435119062623772,0.08951430942387657,0.1619251810359847,0.008021369323726166,6.156206396922136,0.03522039092877617,0.27324204847299255,0.0412367870341184
11,1000,1.538274734202752,0.09112814205468804,0.1555732010367384,0.009650373893148097,6.1696029880952885,0.04152970665315868,0.22870552609443026,0.04285937364588779
